iter	Passed	Remaining
417	2654	3695
418	2660	3688
419	2666	3681
420	2672	3675
421	2678	3668
422	2684	3661
423	2689	3653
424	2696	3648
425	2702	3641
426	2709	3635
427	2715	3629
428	2721	3622
429	2727	3615
430	2733	3609
431	2739	3602
432	2745	3595
433	2751	3588
434	2758	3582
435	2765	3576
436	2770	3569
437	2777	3563
438	2783	3556
439	2789	3549
440	2795	3543
441	2800	3536
442	2807	3530
443	2814	3524
444	2820	3517
445	2826	3510
446	2832	3504
447	2840	3499
448	2846	3493
449	2853	3487
450	2858	3479
451	2864	3473
452	2871	3467
453	2877	3460
454	2884	3455
455	2890	3448
456	2896	3441
457	2902	3434
458	2907	3427
459	2913	3420
460	2920	3414
461	2926	3408
462	2933	3401
463	2939	3395
464	2944	3387
465	2951	3382
466	2957	3375
467	2964	3369
468	2969	3362
469	2975	3355
470	2982	3349
471	2988	3342
472	2994	3336
473	3000	3330
474	3008	3325
475	3014	3318
476	3021	3312
477	3027	3305
478	3034	3300
479	3040	3293
480	3047	3288
481	3053	3281
482	3059	3274
483	3065	3268
484	3072	3262
485	3078	3256
486	3085	3250
487	3092	3244
488	3098	3237
489	3104	3231
490	3111	3225
491	3117	3219
492	3123	3212
493	3130	3206
494	3136	3199
495	3142	3193
496	3148	3186
497	3154	3179
498	3160	3172
499	3165	3165
500	3172	3159
501	3177	3152
502	3183	3145
503	3190	3139
504	3197	3133
505	3203	3127
506	3209	3121
507	3216	3115
508	3222	3108
509	3229	3103
510	3236	3097
511	3242	3090
512	3250	3085
513	3256	3078
514	3262	3072
515	3268	3065
516	3274	3058
517	3279	3051
518	3286	3045
519	3292	3039
520	3298	3032
521	3305	3026
522	3311	3020
523	3318	3014
524	3324	3008
525	3331	3002
526	3337	2995
527	3343	2988
528	3349	2982
529	3356	2976
530	3362	2970
531	3369	2964
532	3375	2957
533	3381	2951
534	3387	2944
535	3393	2937
536	3400	2931
537	3406	2925
538	3413	2919
539	3418	2912
540	3424	2905
541	3431	2899
542	3437	2892
543	3442	2885
544	3450	2880
545	3456	2874
546	3462	2867
547	3468	2861
548	3474	2854
549	3480	2847
550	3485	2840
551	3491	2834
552	3498	2828
553	3504	2821
554	3510	2814
555	3516	2808
556	3522	2801
557	3528	2794
558	3534	2788
559	3541	2782
560	3548	2776
561	3554	2770
562	3560	2763
563	3567	2757
564	3572	2750
565	3578	2743
566	3583	2736
567	3589	2730
568	3596	2724
569	3602	2717
570	3608	2711
571	3614	2704
572	3620	2698
573	3626	2691
574	3632	2684
575	3638	2678
576	3644	2671
577	3651	2665
578	3657	2659
579	3663	2652
580	3670	2646
581	3675	2640
582	3683	2634
583	3689	2627
584	3695	2621
585	3701	2614
586	3707	2608
587	3713	2601
588	3719	2595
589	3726	2589
590	3732	2582
591	3738	2576
592	3743	2569
593	3751	2563
594	3757	2557
595	3763	2551
596	3770	2545
597	3775	2538
598	3782	2531
599	3787	2525
600	3794	2519
601	3799	2512
602	3805	2505
603	3811	2498
604	3817	2492
605	3822	2485
606	3828	2478
607	3834	2471
608	3840	2465
609	3846	2459
610	3853	2453
611	3858	2446
612	3864	2439
613	3871	2433
614	3876	2426
615	3883	2420
616	3889	2414
617	3895	2407
618	3901	2401
619	3907	2394
620	3912	2388
621	3919	2381
622	3926	2375
623	3931	2369
624	3937	2362
625	3943	2355
626	3950	2349
627	3956	2343
628	3962	2337
629	3968	2330
630	3974	2324
631	3981	2318
632	3987	2311
633	3994	2305
634	4000	2299
635	4007	2293
636	4013	2286
637	4019	2280
638	4026	2274
639	4032	2268
640	4039	2262
641	4045	2255
642	4051	2249
643	4058	2243
644	4063	2236
645	4069	2230
646	4075	2223
647	4081	2217
648	4087	2210
649	4093	2204
650	4099	2197
651	4106	2191
652	4111	2184
653	4117	2178
654	4123	2171
655	4129	2165
656	4135	2159
657	4142	2152
658	4148	2146
659	4155	2140
660	4160	2133
661	4167	2127
662	4174	2121
663	4180	2115
664	4187	2109
665	4193	2103
666	4200	2096
667	4207	2090
668	4212	2084
669	4218	2077
670	4224	2071
671	4230	2064
672	4236	2058
673	4243	2052
674	4249	2046
675	4256	2040
676	4262	2033
677	4269	2027
678	4275	2021
679	4282	2015
680	4288	2008
681	4294	2002
682	4300	1996
683	4306	1989
684	4313	1983
685	4319	1977
686	4325	1970
687	4331	1964
688	4338	1958
689	4344	1951
690	4350	1945
691	4356	1939
692	4363	1933
693	4369	1926
694	4375	1920
695	4381	1913
696	4387	1907
697	4393	1901
698	4399	1894
699	4406	1888
700	4412	1881
701	4418	1875
702	4425	1869
703	4431	1863
704	4437	1856
705	4444	1850
706	4451	1844
707	4456	1838
708	4462	1831
709	4468	1825
710	4474	1818
711	4480	1812
712	4486	1805
713	4492	1799
714	4498	1793
715	4504	1786
716	4510	1780
717	4516	1773
718	4522	1767
719	4528	1761
720	4535	1754
721	4540	1748
722	4547	1742
723	4552	1735
724	4559	1729
725	4565	1723
726	4571	1716
727	4578	1710
728	4584	1704
729	4590	1698
730	4597	1691
731	4602	1685
732	4609	1679
733	4616	1673
734	4622	1666
735	4628	1660
736	4634	1653
737	4641	1647
738	4646	1641
739	4652	1634
740	4658	1628
741	4664	1621
742	4670	1615
743	4677	1609
744	4684	1603
745	4690	1597
746	4696	1590
747	4703	1584
748	4709	1578
749	4717	1572
750	4724	1566
751	4730	1560
752	4737	1554
753	4743	1547
754	4749	1541
755	4756	1535
756	4761	1528
757	4767	1522
758	4773	1515
759	4779	1509
760	4785	1503
761	4792	1496
762	4799	1490
763	4805	1484
764	4811	1478
765	4818	1471
766	4824	1465
767	4829	1458
768	4835	1452
769	4840	1445
770	4847	1439
771	4854	1433
772	4859	1427
773	4866	1420
774	4872	1414
775	4879	1408
776	4884	1401
777	4890	1395
778	4897	1389
779	4903	1382
780	4909	1376
781	4915	1370
782	4922	1364
783	4928	1357
784	4933	1351
785	4939	1344
786	4946	1338
787	4952	1332
788	4957	1325
789	4964	1319
790	4969	1313
791	4976	1306
792	4982	1300
793	4988	1294
794	4994	1287
795	4999	1281
796	5005	1274
797	5011	1268
798	5018	1262
799	5024	1256
800	5031	1249
801	5037	1243
802	5044	1237
803	5049	1230
804	5056	1224
805	5063	1218
806	5069	1212
807	5076	1206
808	5083	1200
809	5089	1193
810	5095	1187
811	5100	1180
812	5106	1174
813	5113	1168
814	5118	1161
815	5124	1155
816	5131	1149
817	5138	1143
818	5144	1136
819	5150	1130
820	5156	1124
821	5163	1118
822	5170	1111
823	5175	1105
824	5182	1099
825	5188	1093
826	5195	1086
827	5202	1080
828	5208	1074
829	5213	1067
830	5218	1061
831	5224	1054
832	5231	1048
833	5237	1042
834	5244	1036
835	5250	1030
836	5256	1023
837	5263	1017
838	5269	1011
839	5275	1004
840	5281	998
841	5288	992
842	5294	986
843	5300	979
844	5307	973
845	5313	967
846	5318	960
847	5324	954
848	5331	948
849	5338	942
850	5344	935
851	5350	929
852	5357	923
853	5363	916
854	5369	910
855	5374	904
856	5380	897
857	5386	891
858	5392	885
859	5399	878
860	5405	872
861	5411	866
862	5417	860
863	5423	853
864	5429	847
865	5435	841
866	5443	835
867	5450	828
868	5456	822
869	5462	816
870	5469	810
871	5476	803
872	5482	797
873	5488	791
874	5495	785
875	5501	778
876	5507	772
877	5515	766
878	5522	760
879	5528	753
880	5533	747
881	5540	741
882	5545	734
883	5551	728
884	5557	722
885	5563	715
886	5569	709
887	5575	703
888	5581	696
889	5587	690
890	5594	684
891	5600	678
892	5607	671
893	5613	665
894	5619	659
895	5626	653
896	5633	646
897	5639	640
898	5646	634
899	5652	628
900	5658	621
901	5663	615
902	5669	609
903	5676	602
904	5683	596
905	5689	590
906	5695	583
907	5701	577
908	5708	571
909	5714	565
910	5720	558
911	5726	552
912	5733	546
913	5739	540
914	5744	533
915	5750	527
916	5756	521
917	5762	514
918	5767	508
919	5773	502
920	5779	495
921	5785	489
922	5792	483
923	5798	476
924	5804	470
925	5811	464
926	5816	458
927	5823	451
928	5829	445
929	5835	439
930	5842	432
931	5849	426
932	5856	420
933	5861	414
934	5870	408
935	5876	401
936	5882	395
937	5887	389
938	5893	382
939	5899	376
940	5904	370
941	5911	363
942	5917	357
943	5924	351
944	5930	345
945	5936	338
946	5942	332
947	5948	326
948	5955	320
949	5960	313
950	5966	307
951	5971	301
952	5978	294
953	5984	288
954	5989	282
955	5995	275
956	6002	269
957	6008	263
958	6014	257
959	6020	250
960	6027	244
961	6034	238
962	6040	232
963	6046	225
964	6052	219
965	6058	213
966	6064	206
967	6071	200
968	6076	194
969	6083	188
970	6089	181
971	6095	175
972	6102	169
973	6108	163
974	6114	156
975	6120	150
976	6126	144
977	6132	137
978	6138	131
979	6145	125
980	6151	119
981	6158	112
982	6164	106
983	6169	100
984	6175	94
985	6181	87
986	6187	81
987	6194	75
988	6200	68
989	6206	62
990	6212	56
991	6218	50
992	6225	43
993	6231	37
994	6237	31
995	6243	25
996	6250	18
997	6256	12
998	6261	6
999	6267	0
