iter	RMSE
0	1209.035399
1	1178.076684
2	1151.006721
3	1122.810597
4	1095.700382
5	1071.309606
6	1045.841271
7	1020.302566
8	995.3076877
9	970.5433536
10	947.0190986
11	924.0798739
12	903.2228674
13	879.2059377
14	858.9082089
15	839.9145916
16	820.5019072
17	803.4117306
18	785.9308954
19	768.2771484
20	748.401025
21	732.784514
22	715.2085007
23	701.2767094
24	686.0535171
25	671.2597396
26	657.7590069
27	641.3220748
28	628.1850423
29	615.1945414
30	604.0932079
31	592.7854825
32	582.3965376
33	569.6990115
34	555.880554
35	545.7198652
36	534.736366
37	524.8582544
38	514.7808472
39	505.2549904
40	496.0344936
41	485.8919857
42	478.0069864
43	469.5061301
44	461.3155838
45	454.1088228
46	445.6064115
47	437.1182737
48	429.2134701
49	423.0605302
50	418.3234792
51	413.3964243
52	407.8589189
53	399.6416422
54	393.2738641
55	387.8770943
56	382.099283
57	374.8404357
58	370.1064417
59	364.7967878
60	359.741254
61	354.3064326
62	348.6074423
63	344.7201305
64	339.3916147
65	335.649411
66	329.4594624
67	325.9851043
68	321.7319773
69	319.0160485
70	315.8840875
71	313.2122816
72	309.438286
73	305.2402589
74	301.3312036
75	298.148008
76	292.8703608
77	290.1543702
78	287.7181598
79	284.9912332
80	282.4631344
81	278.9824406
82	277.1585482
83	272.8147809
84	271.0144333
85	268.6743611
86	265.4505341
87	260.3241726
88	258.9737392
89	257.035767
90	255.1453017
91	253.5017138
92	251.3186497
93	248.9024738
94	247.5394936
95	243.7551461
96	241.066817
97	239.3527568
98	238.1388984
99	237.1738307
100	234.9421717
101	232.2406009
102	231.8165692
103	230.6771836
104	226.28538
105	225.3933477
106	224.0862115
107	222.6812893
108	222.064286
109	220.4105884
110	218.0442237
111	216.6539418
112	215.9522616
113	214.2652161
114	213.6120776
115	211.4928029
116	209.7128937
117	208.1267043
118	207.2067728
119	205.1233111
120	204.0526951
121	203.3291849
122	202.6715927
123	201.8909293
124	200.8424475
125	199.7909116
126	199.1841066
127	199.4186044
128	198.7408779
129	198.0235945
130	197.4467203
131	195.5801045
132	194.4277599
133	194.0482779
134	191.6691578
135	191.0027248
136	191.2714498
137	190.7704282
138	189.9610293
139	189.2626551
140	189.2772483
141	187.9327166
142	189.0083097
143	189.9280698
144	187.9117087
145	184.7703591
146	183.8490732
147	183.3648407
148	183.5305301
149	183.4077731
150	183.2288456
151	183.733357
152	184.8435543
153	184.0176626
154	184.2353621
155	185.3216511
156	184.8967296
157	185.3267206
158	185.4997111
159	184.5776075
160	185.5580571
161	185.6060638
162	184.1628003
163	183.7480369
164	184.6102784
165	185.5738866
166	186.603462
167	187.1451694
168	186.5707722
169	187.8853597
170	188.7208889
171	188.305875
172	189.041223
173	187.1843461
174	187.4063699
175	188.4608347
176	188.1125949
177	188.9232812
178	187.9293429
179	189.0655486
180	188.5387468
181	189.2205438
182	189.8071689
183	190.7746903
184	191.9243853
185	191.795332
186	192.7082288
187	194.4200007
188	195.6711242
189	196.864772
190	195.6202096
191	196.3451249
192	194.801178
193	194.9239872
194	194.3601146
195	195.4922257
196	196.346105
197	197.7600199
198	197.5587956
199	199.5519592
200	201.3074374
201	202.7708443
202	205.3067471
203	205.1669539
204	204.1310463
205	206.3439785
206	209.3271235
207	212.2256869
208	212.5836769
209	213.3176816
210	213.5559141
211	216.731141
212	220.2163991
213	223.2713852
214	228.0423872
215	233.2514598
216	238.9865517
217	244.6260543
218	245.4636258
219	252.3621563
220	251.6748999
221	251.5234153
222	258.4119453
223	259.5292483
224	256.2922537
225	259.1832476
226	266.2807281
227	274.037204
228	276.2177535
229	273.0713427
230	272.8006811
231	274.7475167
232	269.268588
233	273.9104984
234	283.6782234
235	286.6897082
236	281.7166234
237	287.4874015
238	297.1583831
239	301.9155067
240	312.8229372
241	309.9681006
242	308.7817185
243	315.6204679
244	327.1318456
245	335.4240872
246	349.7896897
247	361.021654
248	371.1841915
249	387.2019566
250	382.052344
251	394.3858609
252	412.0560415
253	426.8333582
254	447.9610975
255	465.3568169
256	488.1033025
257	508.6765202
258	502.637008
259	528.2007435
260	555.5223977
261	547.6831853
262	573.9280258
263	604.0857257
264	633.3954647
265	667.5255396
266	701.9924387
267	740.5291992
268	779.068706
269	752.450455
270	790.1665791
271	788.7271432
272	829.1625063
273	872.597122
274	919.454022
275	970.4621341
276	1024.114646
277	1082.88061
278	1143.697264
279	1209.919445
280	1194.89026
281	1181.193112
282	1248.120954
283	1318.100056
284	1392.83747
285	1472.533079
286	1557.413166
287	1647.731821
288	1744.18912
289	1846.567051
290	1955.403637
291	2070.678174
292	1967.412053
293	2080.165022
294	2201.64349
295	2329.672857
296	2466.564184
297	2611.923781
298	2574.796934
299	2725.426752
300	2687.641516
301	2845.042685
302	2806.426166
303	2971.876566
304	3146.705627
305	3332.377619
306	3528.587489
307	3738.274481
308	3959.590713
309	4194.633488
310	4444.488835
311	4709.623073
312	4990.931985
313	5289.154726
314	5605.377881
315	5940.210372
316	5843.417351
317	6191.801227
318	6561.754644
319	6457.638049
320	6842.924854
321	7251.924703
322	7684.505584
323	8144.294995
324	8631.743592
325	9147.739763
326	8611.374794
327	9125.377618
328	8976.007158
329	9510.215042
330	10078.19672
331	9926.460846
332	9767.247238
333	10344.55173
334	10958.37997
335	10791.11856
336	11433.78024
337	12112.96316
338	12835.94461
339	13601.38557
340	13378.05597
341	14174.98557
342	15023.38267
343	15922.80452
344	16876.30168
345	16605.35266
346	17598.84815
347	18649.51107
348	19763.60833
349	20947.64679
350	22201.8833
351	23532.52428
352	24942.65802
353	26437.61889
354	25989.82303
355	27545.22889
356	29193.82415
357	30943.2039
358	32797.76282
359	34764.50369
